Data,Info,Valor,Info1,Info2,Info3,Info4,Info5,Info6,Info7,Info8,Info9,Info10
2021-07-31,imoveis_valor_avaliacao_pa,"190.000,00",imoveis,valor,avaliacao,pa,,,,,,
2019-09-30,imoveis_dormitorio_1_to,"9,00",imoveis,dormitorio,1,to,,,,,,
2020-02-29,imoveis_tipo_apartamento_ma,"210,00",imoveis,tipo,apartamento,ma,,,,,,
2018-01-31,imoveis_dormitorio_4_mais_sp,"331,00",imoveis,dormitorio,4,mais,sp,,,,,
2018-11-30,imoveis_dormitorio_3_mt,"220,00",imoveis,dormitorio,3,mt,,,,,,
2019-03-31,imoveis_implantacao_condominio_se,"403,00",imoveis,implantacao,condominio,se,,,,,,
2021-07-31,imoveis_valor_avaliacao_pb,"141.000,00",imoveis,valor,avaliacao,pb,,,,,,
2019-09-30,imoveis_dormitorio_2_ac,"16,00",imoveis,dormitorio,2,ac,,,,,,
2020-02-29,imoveis_tipo_apartamento_mg,"1.446,00",imoveis,tipo,apartamento,mg,,,,,,
2018-01-31,imoveis_dormitorio_4_mais_to,"6,00",imoveis,dormitorio,4,mais,to,,,,,
2018-11-30,imoveis_dormitorio_3_pa,"131,00",imoveis,dormitorio,3,pa,,,,,,
2019-03-31,imoveis_implantacao_condominio_sp,"9.046,00",imoveis,implantacao,condominio,sp,,,,,,
2021-07-31,imoveis_valor_avaliacao_pe,"152.000,00",imoveis,valor,avaliacao,pe,,,,,,
2019-09-30,imoveis_dormitorio_2_al,"231,00",imoveis,dormitorio,2,al,,,,,,
2020-02-29,imoveis_tipo_apartamento_ms,"355,00",imoveis,tipo,apartamento,ms,,,,,,
2018-02-28,imoveis_dormitorio_1_al,"10,00",imoveis,dormitorio,1,al,,,,,,
2018-11-30,imoveis_dormitorio_3_pb,"173,00",imoveis,dormitorio,3,pb,,,,,,
2019-03-31,imoveis_implantacao_condominio_to,"80,00",imoveis,implantacao,condominio,to,,,,,,
2021-07-31,imoveis_valor_avaliacao_pi,"137.000,00",imoveis,valor,avaliacao,pi,,,,,,
2019-09-30,imoveis_dormitorio_2_am,"352,00",imoveis,dormitorio,2,am,,,,,,
2020-02-29,imoveis_tipo_apartamento_mt,"583,00",imoveis,tipo,apartamento,mt,,,,,,
2018-02-28,imoveis_dormitorio_1_am,"10,00",imoveis,dormitorio,1,am,,,,,,
2018-11-30,imoveis_dormitorio_3_pe,"362,00",imoveis,dormitorio,3,pe,,,,,,
2019-03-31,imoveis_implantacao_isolado_ac,"24,00",imoveis,implantacao,isolado,ac,,,,,,
2021-07-31,imoveis_valor_avaliacao_pr,"200.000,00",imoveis,valor,avaliacao,pr,,,,,,
2019-09-30,imoveis_dormitorio_2_ap,"28,00",imoveis,dormitorio,2,ap,,,,,,
2020-02-29,imoveis_tipo_apartamento_pa,"162,00",imoveis,tipo,apartamento,pa,,,,,,
2018-02-28,imoveis_dormitorio_1_ap,"2,00",imoveis,dormitorio,1,ap,,,,,,
2018-11-30,imoveis_dormitorio_3_pi,"135,00",imoveis,dormitorio,3,pi,,,,,,
2019-03-31,imoveis_implantacao_isolado_al,"195,00",imoveis,implantacao,isolado,al,,,,,,
2021-07-31,imoveis_valor_avaliacao_rj,"256.000,00",imoveis,valor,avaliacao,rj,,,,,,
2019-09-30,imoveis_dormitorio_2_ba,"1.255,00",imoveis,dormitorio,2,ba,,,,,,
2020-02-29,imoveis_tipo_apartamento_pb,"143,00",imoveis,tipo,apartamento,pb,,,,,,
2018-02-28,imoveis_dormitorio_1_ba,"93,00",imoveis,dormitorio,1,ba,,,,,,
2018-11-30,imoveis_dormitorio_3_pr,"1.107,00",imoveis,dormitorio,3,pr,,,,,,
2019-03-31,imoveis_implantacao_isolado_am,"141,00",imoveis,implantacao,isolado,am,,,,,,
2021-07-31,imoveis_valor_avaliacao_rn,"142.000,00",imoveis,valor,avaliacao,rn,,,,,,
2019-09-30,imoveis_dormitorio_2_ce,"701,00",imoveis,dormitorio,2,ce,,,,,,
2020-02-29,imoveis_tipo_apartamento_pe,"223,00",imoveis,tipo,apartamento,pe,,,,,,
2018-02-28,imoveis_dormitorio_1_ce,"34,00",imoveis,dormitorio,1,ce,,,,,,
2018-11-30,imoveis_dormitorio_3_rj,"340,00",imoveis,dormitorio,3,rj,,,,,,
2019-03-31,imoveis_implantacao_isolado_ap,"21,00",imoveis,implantacao,isolado,ap,,,,,,
2021-07-31,imoveis_valor_avaliacao_ro,"177.000,00",imoveis,valor,avaliacao,ro,,,,,,
2019-09-30,imoveis_dormitorio_2_df,"469,00",imoveis,dormitorio,2,df,,,,,,
2020-02-29,imoveis_tipo_apartamento_pi,"166,00",imoveis,tipo,apartamento,pi,,,,,,
2018-02-28,imoveis_dormitorio_1_df,"134,00",imoveis,dormitorio,1,df,,,,,,
2018-11-30,imoveis_dormitorio_3_rn,"103,00",imoveis,dormitorio,3,rn,,,,,,
2019-03-31,imoveis_implantacao_isolado_ba,"748,00",imoveis,implantacao,isolado,ba,,,,,,
2021-07-31,imoveis_valor_avaliacao_rr,"161.800,00",imoveis,valor,avaliacao,rr,,,,,,
2019-09-30,imoveis_dormitorio_2_es,"577,00",imoveis,dormitorio,2,es,,,,,,
2020-02-29,imoveis_tipo_apartamento_pr,"1.047,00",imoveis,tipo,apartamento,pr,,,,,,
2018-02-28,imoveis_dormitorio_1_es,"53,00",imoveis,dormitorio,1,es,,,,,,
2018-11-30,imoveis_dormitorio_3_ro,"64,00",imoveis,dormitorio,3,ro,,,,,,
2019-03-31,imoveis_implantacao_isolado_ce,"592,00",imoveis,implantacao,isolado,ce,,,,,,
2021-07-31,imoveis_valor_avaliacao_rs,"205.000,00",imoveis,valor,avaliacao,rs,,,,,,
2019-09-30,imoveis_dormitorio_2_go,"2.740,00",imoveis,dormitorio,2,go,,,,,,
2020-02-29,imoveis_tipo_apartamento_rj,"373,00",imoveis,tipo,apartamento,rj,,,,,,
2018-02-28,imoveis_dormitorio_1_go,"118,00",imoveis,dormitorio,1,go,,,,,,
2018-11-30,imoveis_dormitorio_3_rr,"10,00",imoveis,dormitorio,3,rr,,,,,,
2019-03-31,imoveis_implantacao_isolado_df,"258,00",imoveis,implantacao,isolado,df,,,,,,
2021-07-31,imoveis_valor_avaliacao_sc,"220.000,00",imoveis,valor,avaliacao,sc,,,,,,
2019-09-30,imoveis_dormitorio_2_ma,"543,00",imoveis,dormitorio,2,ma,,,,,,
2020-02-29,imoveis_tipo_apartamento_rn,"253,00",imoveis,tipo,apartamento,rn,,,,,,
2018-02-28,imoveis_dormitorio_1_ma,"8,00",imoveis,dormitorio,1,ma,,,,,,
2018-11-30,imoveis_dormitorio_3_rs,"636,00",imoveis,dormitorio,3,rs,,,,,,
2019-03-31,imoveis_implantacao_isolado_es,"270,00",imoveis,implantacao,isolado,es,,,,,,
2021-07-31,imoveis_valor_avaliacao_se,"134.500,00",imoveis,valor,avaliacao,se,,,,,,
2019-09-30,imoveis_dormitorio_2_mg,"4.622,00",imoveis,dormitorio,2,mg,,,,,,
2020-02-29,imoveis_tipo_apartamento_ro,"188,00",imoveis,tipo,apartamento,ro,,,,,,
2018-02-28,imoveis_dormitorio_1_mg,"517,00",imoveis,dormitorio,1,mg,,,,,,
2018-11-30,imoveis_dormitorio_3_sc,"571,00",imoveis,dormitorio,3,sc,,,,,,
2019-03-31,imoveis_implantacao_isolado_go,"2.815,00",imoveis,implantacao,isolado,go,,,,,,
2021-07-31,imoveis_valor_avaliacao_sp,"240.000,00",imoveis,valor,avaliacao,sp,,,,,,
2019-09-30,imoveis_dormitorio_2_ms,"569,00",imoveis,dormitorio,2,ms,,,,,,
2020-02-29,imoveis_tipo_apartamento_rr,"39,00",imoveis,tipo,apartamento,rr,,,,,,
2018-02-28,imoveis_dormitorio_1_ms,"48,00",imoveis,dormitorio,1,ms,,,,,,
2018-11-30,imoveis_dormitorio_3_se,"184,00",imoveis,dormitorio,3,se,,,,,,
2019-03-31,imoveis_implantacao_isolado_ma,"282,00",imoveis,implantacao,isolado,ma,,,,,,
2021-07-31,imoveis_valor_avaliacao_to,"230.000,00",imoveis,valor,avaliacao,to,,,,,,
2019-09-30,imoveis_dormitorio_2_mt,"859,00",imoveis,dormitorio,2,mt,,,,,,
2020-02-29,imoveis_tipo_apartamento_rs,"974,00",imoveis,tipo,apartamento,rs,,,,,,
2018-02-28,imoveis_dormitorio_1_mt,"28,00",imoveis,dormitorio,1,mt,,,,,,
2018-11-30,imoveis_dormitorio_3_sp,"2.695,00",imoveis,dormitorio,3,sp,,,,,,
2019-03-31,imoveis_implantacao_isolado_mg,"2.687,00",imoveis,implantacao,isolado,mg,,,,,,
2021-08-31,imoveis_valor_avaliacao_ac,"272.500,00",imoveis,valor,avaliacao,ac,,,,,,
2019-09-30,imoveis_dormitorio_2_pa,"402,00",imoveis,dormitorio,2,pa,,,,,,
2020-02-29,imoveis_tipo_apartamento_sc,"580,00",imoveis,tipo,apartamento,sc,,,,,,
2018-02-28,imoveis_dormitorio_1_pa,"30,00",imoveis,dormitorio,1,pa,,,,,,
2018-11-30,imoveis_dormitorio_3_to,"60,00",imoveis,dormitorio,3,to,,,,,,
2019-03-31,imoveis_implantacao_isolado_ms,"610,00",imoveis,implantacao,isolado,ms,,,,,,
2021-08-31,imoveis_valor_avaliacao_al,"150.000,00",imoveis,valor,avaliacao,al,,,,,,
2019-09-30,imoveis_dormitorio_2_pb,"943,00",imoveis,dormitorio,2,pb,,,,,,
2020-02-29,imoveis_tipo_apartamento_se,"144,00",imoveis,tipo,apartamento,se,,,,,,
2018-02-28,imoveis_dormitorio_1_pb,"23,00",imoveis,dormitorio,1,pb,,,,,,
2018-11-30,imoveis_dormitorio_4_mais_ac,"3,00",imoveis,dormitorio,4,mais,ac,,,,,
2019-03-31,imoveis_implantacao_isolado_mt,"660,00",imoveis,implantacao,isolado,mt,,,,,,
2021-08-31,imoveis_valor_avaliacao_am,"147.800,00",imoveis,valor,avaliacao,am,,,,,,
